ALB,Upper middle income,Eastern Europe and Central Asia,13724.05879,8453.18,2866376,Europe,North
ARM,Upper middle income,Eastern Europe and Central Asia,13653.74953,10552,2951776,Europe,North
AZE,Upper middle income,Eastern Europe and Central Asia,14403.85047,8368.23,9939771,Asia,North
BGD,Lower middle income,South Asia,4753.726947,3284.66,161356039,Asia,South
BLR,Upper middle income,Eastern Europe and Central Asia,19149.63785,11071.9,9483499,Asia,North
BEN,Low income,Sub-Saharan Africa,3287.309538,2276.31,11485048,SSA + MENA,South
BOL,Lower middle income,Latin America and Caribbean,8724.475702,6394.33,11353142,Latin America,South
BRA,Upper middle income,BRIC,14651.61618,9070.54,209469333,Latin America,South
BFA,Low income,Sub-Saharan Africa,2178.323415,1519.37,19751535,SSA + MENA,South
KHM,Lower middle income,East Asia and Pacific,4388.800909,3006.54,16249798,Asia,South
CMR,Lower middle income,Sub-Saharan Africa,3642.277258,2604.51,25216237,SSA + MENA,South
CHN,Upper middle income,BRIC,16092.30077,6383.15,1392730000,Asia,South
COL,Upper middle income,Latin America and Caribbean,14624.9713,9343.34,49661056,Latin America,South
CIV,Lower middle income,Sub-Saharan Africa,5212.556048,3307.78,25069229,SSA + MENA,South
EGY,Lower middle income,Middle East and North Africa,11763.25364,9286.39,98423595,SSA + MENA,South
SLV,Lower middle income,Latin America and Caribbean,8775.98652,6668.89,6420744,Latin America,South
ETH,Low income,Sub-Saharan Africa,2221.404605,1904.33,109224559,SSA + MENA,South
GHA,Lower middle income,Sub-Saharan Africa,5412.628122,3930.51,29767108,SSA + MENA,South
GTM,Upper middle income,Latin America and Caribbean,8637.464165,6729.08,16346950,Latin America,South
GIN,Low income,Sub-Saharan Africa,2562.082921,1843.28,12414318,SSA + MENA,South
HND,Lower middle income,Latin America and Caribbean,5727.973572,4379.52,9587522,Latin America,South
IND,Lower middle income,BRIC,6700.062225,4324.95,1352617328,Asia,South
IDN,Lower middle income,East Asia and Pacific,11812.19764,6313.9,267663435,Asia,South
JAM,Upper middle income,Latin America and Caribbean,9761.498522,7293.98,2934855,Latin America,South
JOR,Upper middle income,Middle East and North Africa,10071.38287,7828.84,9956011,SSA + MENA,South
KAZ,Upper middle income,Eastern Europe and Central Asia,26351.43864,14007.1,18276498.5,Asia,North
KEN,Lower middle income,Sub-Saharan Africa,4329.87139,3482.96,51393010,SSA + MENA,South
KGZ,Lower middle income,Eastern Europe and Central Asia,5253.097478,3792.39,6322800,Asia,North
LAO,Lower middle income,East Asia and Pacific,7826.388595,2604.41,7061507,Asia,South
MDG,Low income,Sub-Saharan Africa,1647.02116,1241.2,26262368,SSA + MENA,South
MWI,Low income,Sub-Saharan Africa,1059.72349,903.494,18143315,SSA + MENA,South
MUS,Upper middle income,Sub-Saharan Africa,22870.28625,15995.9,1265303,SSA + MENA,South
MEX,Upper middle income,Latin America and Caribbean,19765.91608,11569.8,126190788,Latin America,South
MNG,Lower middle income,East Asia and Pacific,12316.78755,6655.28,3170208,Asia,South
MAR,Lower middle income,Middle East and North Africa,7514.720881,4191.05,36029138,SSA + MENA,South
MOZ,Low income,Sub-Saharan Africa,1281.391836,920.808,29495962,SSA + MENA,South
NAM,Upper middle income,Sub-Saharan Africa,9637.180351,7303.02,2448255,SSA + MENA,South
NPL,Low income,South Asia,3416.791282,2564.69,28087871,Asia,North
NIC,Lower middle income,Latin America and Caribbean,5407.1207,3589.73,6465513,Latin America,South
NGA,Lower middle income,Sub-Saharan Africa,5135.499571,4303.77,195874740,SSA + MENA,South
PAK,Lower middle income,South Asia,4690.484755,4052.49,212215030,Asia,South
PRY,Upper middle income,Latin America and Caribbean,12685.1134,8377.33,6956071,Latin America,South
PER,Upper middle income,Latin America and Caribbean,12847.88521,7783.86,31989256,Latin America,South
PHL,Lower middle income,East Asia and Pacific,8908.175977,6469.64,106651922,Asia,South
RUS,Upper middle income,BRIC,27043.93539,13843,144477860,Asia,North
RWA,Low income,Sub-Saharan Africa,2226.863571,1755.15,12301939,SSA + MENA,South
SEN,Lower middle income,Sub-Saharan Africa,3394.868808,2480.03,15854360,SSA + MENA,South
ZAF,Upper middle income,Sub-Saharan Africa,12481.81287,7493.99,57779622,SSA + MENA,South
LKA,Upper middle income,South Asia,13078.09812,7937.24,21670000,Asia,South
TZA,Low income,Sub-Saharan Africa,2660.420338,1712.18,56318348,SSA + MENA,South
THA,Upper middle income,East Asia and Pacific,18459.99486,8973.26,69428524,Asia,South
TGO,Low income,Sub-Saharan Africa,1596.644938,1131.37,7889094,SSA + MENA,South
UGA,Low income,Sub-Saharan Africa,2187.464881,1712.07,42723139,SSA + MENA,South
UKR,Lower middle income,Eastern Europe and Central Asia,12810.28945,7843.57,44622518,Europe,North
VNM,Lower middle income,East Asia and Pacific,8041.178551,5254.32,95540395,Asia,South
ZMB,Lower middle income,Sub-Saharan Africa,3470.448801,1578.53,17351822,SSA + MENA,South
AUT,High income,Europe,56029.61279,26808.4,8840521,Europe,North
BEL,High income,Europe,51914.91461,24240.7,11427054,Europe,North
BGR,Upper middle income,Europe,23265.62327,12874.1,7025037,Europe,North
CYP,High income,Europe,39544.68185,17520.5,1189265,Europe,North
CZE,High income,Europe,40836.32899,17497.8,10629928,Europe,North
DEU,High income,G7,53784.77958,26656.8,82905782,Europe,North
DNK,High income,Europe,57821.19778,22956.2,5793636,Europe,North
EST,High income,Europe,36956.28443,16212.3,1321977,Europe,North
ESP,High income,Europe,40985.55851,21005.3,46797754,Europe,North
FIN,High income,Europe,48814.31015,23932.4,5515525,Europe,North
FRA,High income,G7,46110.18471,22399.5,66965912,Europe,North
GRC,High income,Europe,30465.44879,18075.3,10732882,Europe,North
HRV,High income,Europe,28829.35553,14400.1,4087843,Europe,North
HUN,High income,Europe,32643.49054,14526,9775564,Europe,North
IRL,High income,Europe,86696.23908,21161.6,4867316,Europe,North
ITA,High income,G7,42419.72083,22674,60421760,Europe,North
LTU,High income,Europe,37278.30334,20367.9,2801543,Europe,North
LUX,High income,Europe,114323.4054,30729.9,607950,Europe,North
LVA,High income,Europe,30982.17473,15806.8,1927174,Europe,North
MLT,High income,Europe,43707.54016,16953.2,484630,Europe,North
NLD,High income,Europe,56849.37691,22923,17231624,Europe,North
NOR,High income,Europe,64962.26227,27673.6,5311916,Europe,North
POL,High income,Europe,33221.54154,17827.6,37974750,Europe,North
PRT,High income,Europe,34961.94358,19448,10283822,Europe,North
ROU,Upper middle income,Europe,29983.55753,16946.9,19472545,Europe,North
SWE,High income,Europe,52608.70954,22702.2,10175214,Europe,North
SVN,High income,Europe,39037.93196,18288.4,2073894,Europe,North
SVK,High income,Europe,31965.76217,14998.2,5446771,Europe,North
TUR,Upper middle income,Eastern Europe and Central Asia,28289.0888,13362.5,82319724,Europe,South
GBR,High income,G7,46704.32149,26482,66460344,Europe,North
JPN,High income,G7,41667.1791,20706.7,126529100,Asia,North
USA,High income,G7,62530.38959,42854.4,326687501,North America,North
