data in gigatons,BAU,LP,MP,HP,LP.R,MP.R,HP.R,LP.RR,MP.RR,HP.RR,LG1,LG2
year,Business as usual,Low price,Medium price,High price,Low price retrofit,Medium price retrofit,High price retrofit,Low price retrofit + redistribution,Medium price retrofit + redistribution,High price retrofit + redistr.,Low growth scenario medium price retrofi + redist.,Low growth scenario low price retrofit + redist.
2020,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87
2021,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82
2022,5.78,5.56,5.38,4.93,5.34,4.94,4.14,5.39,5.02,4.31,4.95,5.33
2023,5.74,5.48,5.26,4.74,5.15,4.63,3.65,5.21,4.72,3.83,4.61,5.09
2024,5.71,5.40,5.14,4.58,4.97,4.34,3.34,5.03,4.44,3.52,4.28,4.86
2025,5.67,5.33,5.04,4.42,4.80,4.06,3.08,4.86,4.17,3.26,3.97,4.64
2026,5.61,5.23,4.91,4.26,4.61,3.78,2.86,4.68,3.90,3.04,3.67,4.42
2027,5.56,5.14,4.80,4.12,4.44,3.58,2.69,4.50,3.68,2.86,3.43,4.22
2028,5.50,5.06,4.69,3.98,4.27,3.41,2.53,4.33,3.52,2.71,3.24,4.02
2029,5.45,4.98,4.59,3.86,4.10,3.26,2.39,4.17,3.37,2.58,3.07,3.83
2030,5.41,4.90,4.49,3.74,3.94,3.12,2.26,4.01,3.23,2.45,2.92,3.65
2031,5.34,4.80,4.38,3.62,3.78,2.98,2.14,3.84,3.09,2.33,2.77,3.46
2032,5.27,4.71,4.28,3.50,3.62,2.86,2.02,3.68,2.97,2.21,2.64,3.29
2033,5.20,4.62,4.18,3.40,3.50,2.74,1.91,3.56,2.86,2.11,2.52,3.15
2034,5.14,4.54,4.08,3.30,3.38,2.63,1.83,3.45,2.75,2.02,2.41,3.02
2035,5.08,4.46,4.00,3.21,3.28,2.53,1.75,3.34,2.65,1.94,2.30,2.90
2036,5.02,4.38,3.90,3.11,3.17,2.43,1.66,3.23,2.55,1.86,2.20,2.79
2037,4.95,4.30,3.81,3.03,3.07,2.34,1.61,3.13,2.45,1.81,2.11,2.68
2038,4.89,4.22,3.73,2.95,2.97,2.25,1.56,3.04,2.37,1.76,2.02,2.58
2039,4.83,4.15,3.65,2.87,2.88,2.18,1.51,2.95,2.30,1.71,1.95,2.49
2040,4.77,4.08,3.58,2.80,2.79,2.10,1.46,2.86,2.22,1.66,1.87,2.40
2041,4.71,4.00,3.50,2.72,2.70,2.02,1.42,2.77,2.14,1.62,1.80,2.31
2042,4.65,3.93,3.42,2.65,2.62,1.95,1.38,2.69,2.07,1.58,1.73,2.23
2043,4.59,3.86,3.35,2.59,2.54,1.88,1.34,2.61,2.00,1.54,1.66,2.15
2044,4.53,3.80,3.29,2.53,2.46,1.81,1.30,2.53,1.93,1.50,1.60,2.07
2045,4.48,3.74,3.22,2.47,2.39,1.75,1.27,2.46,1.87,1.47,1.53,2.00
2046,4.42,3.67,3.16,2.41,2.31,1.70,1.24,2.38,1.82,1.44,1.48,1.93
2047,4.36,3.61,3.09,2.36,2.24,1.65,1.21,2.31,1.78,1.41,1.43,1.86
2048,4.31,3.55,3.03,2.30,2.17,1.61,1.18,2.24,1.73,1.38,1.39,1.80
2049,4.25,3.49,2.97,2.25,2.11,1.57,1.15,2.18,1.69,1.35,1.35,1.74
2050,4.20,3.43,2.92,2.21,2.05,1.53,1.13,2.12,1.65,1.32,1.31,1.68
2051,4.15,3.37,2.86,2.16,1.99,1.49,1.10,2.06,1.61,1.30,1.27,1.63
2052,4.10,3.32,2.81,2.11,1.93,1.46,1.08,2.00,1.58,1.27,1.23,1.57
2053,4.05,3.26,2.76,2.07,1.87,1.42,1.06,1.94,1.54,1.25,1.20,1.52
2054,4.00,3.21,2.71,2.03,1.81,1.39,1.04,1.88,1.52,1.23,1.17,1.47
2055,3.95,3.17,2.66,1.99,1.77,1.37,1.01,1.84,1.49,1.21,1.14,1.42
2056,3.91,3.12,2.62,1.95,1.73,1.34,0.99,1.81,1.46,1.18,1.11,1.37
2057,3.86,3.07,2.57,1.91,1.70,1.31,0.97,1.77,1.43,1.16,1.09,1.34
2058,3.82,3.02,2.53,1.87,1.66,1.29,0.96,1.73,1.41,1.14,1.06,1.30
2059,3.78,2.98,2.49,1.84,1.63,1.27,0.94,1.70,1.39,1.13,1.04,1.27
2060,3.74,2.94,2.45,1.80,1.60,1.24,0.92,1.67,1.36,1.11,1.01,1.24
2061,3.70,2.90,2.41,1.77,1.56,1.22,0.90,1.64,1.34,1.09,0.99,1.21
2062,3.66,2.86,2.37,1.74,1.54,1.20,0.88,1.61,1.32,1.07,0.96,1.18
2063,3.62,2.82,2.33,1.71,1.51,1.18,0.87,1.58,1.30,1.05,0.94,1.15
2064,3.59,2.78,2.29,1.68,1.48,1.16,0.85,1.55,1.28,1.04,0.92,1.12
2065,3.55,2.74,2.26,1.65,1.45,1.14,0.84,1.52,1.26,1.02,0.90,1.10
2066,3.51,2.70,2.22,1.62,1.42,1.12,0.82,1.50,1.24,1.00,0.88,1.07
2067,3.47,2.66,2.19,1.59,1.40,1.11,0.81,1.47,1.22,0.99,0.86,1.05
2068,3.44,2.63,2.15,1.56,1.37,1.09,0.79,1.45,1.21,0.97,0.85,1.02
2069,3.40,2.59,2.12,1.54,1.35,1.07,0.78,1.42,1.19,0.96,0.83,1.00
2070,3.37,2.56,2.09,1.51,1.33,1.06,0.77,1.40,1.17,0.94,0.81,0.98
2071,3.33,2.52,2.06,1.48,1.31,1.04,0.75,1.38,1.15,0.93,0.79,0.95
2072,3.30,2.49,2.03,1.46,1.28,1.02,0.74,1.36,1.14,0.92,0.78,0.93
2073,3.26,2.46,2.00,1.43,1.26,1.01,0.73,1.33,1.12,0.90,0.76,0.91
2074,3.23,2.42,1.97,1.41,1.24,0.99,0.72,1.31,1.11,0.89,0.75,0.89
2075,3.20,2.39,1.94,1.39,1.22,0.98,0.70,1.29,1.09,0.87,0.73,0.87
2076,3.16,2.36,1.91,1.36,1.20,0.96,0.69,1.27,1.08,0.86,0.71,0.85
2077,3.13,2.33,1.88,1.34,1.18,0.95,0.68,1.25,1.06,0.85,0.70,0.84
2078,3.09,2.29,1.85,1.32,1.17,0.93,0.67,1.24,1.05,0.84,0.69,0.82
2079,3.06,2.26,1.82,1.30,1.15,0.92,0.66,1.22,1.03,0.82,0.67,0.80
2080,3.03,2.23,1.80,1.27,1.13,0.91,0.65,1.20,1.02,0.81,0.66,0.78
2081,3.00,2.20,1.77,1.25,1.12,0.89,0.64,1.19,1.00,0.80,0.64,0.77
2082,2.96,2.17,1.74,1.23,1.10,0.88,0.63,1.17,0.99,0.79,0.63,0.75
2083,2.93,2.14,1.72,1.21,1.08,0.87,0.61,1.15,0.97,0.77,0.62,0.74
2084,2.90,2.11,1.69,1.19,1.07,0.85,0.60,1.14,0.96,0.76,0.61,0.72
2085,2.87,2.09,1.67,1.17,1.05,0.84,0.59,1.12,0.95,0.75,0.59,0.71
2086,2.84,2.06,1.64,1.15,1.04,0.83,0.58,1.11,0.93,0.74,0.58,0.69
2087,2.80,2.03,1.62,1.13,1.02,0.82,0.57,1.09,0.92,0.73,0.57,0.68
2088,2.77,2.00,1.59,1.11,1.01,0.80,0.57,1.08,0.91,0.72,0.56,0.67
2089,2.74,1.97,1.57,1.10,1.00,0.79,0.56,1.06,0.90,0.71,0.55,0.65
2090,2.71,1.95,1.55,1.08,0.98,0.78,0.55,1.05,0.88,0.70,0.54,0.64
2091,2.68,1.92,1.52,1.06,0.97,0.77,0.54,1.03,0.87,0.69,0.53,0.63
2092,2.65,1.89,1.50,1.04,0.95,0.76,0.53,1.02,0.86,0.68,0.51,0.62
2093,2.62,1.87,1.48,1.02,0.94,0.75,0.52,1.00,0.85,0.67,0.50,0.60
2094,2.59,1.84,1.46,1.01,0.93,0.73,0.51,0.99,0.83,0.66,0.49,0.59
2095,2.56,1.82,1.44,0.99,0.91,0.72,0.50,0.98,0.82,0.65,0.48,0.58
2096,2.53,1.79,1.41,0.97,0.90,0.71,0.49,0.96,0.81,0.64,0.47,0.57
2097,2.50,1.77,1.39,0.96,0.89,0.70,0.49,0.95,0.80,0.63,0.47,0.56
2098,2.47,1.74,1.37,0.94,0.87,0.69,0.48,0.94,0.79,0.62,0.46,0.55
2099,2.44,1.72,1.35,0.93,0.86,0.68,0.47,0.93,0.78,0.61,0.45,0.54
2100,2.42,1.70,1.33,0.91,0.85,0.67,0.46,0.92,0.77,0.60,0.44,0.53
