ALB,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,,,,,
ARM,2876538,2884229,2897584,2912403,2925553,2936146,2944809,2951776,,,,,
AZE,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,,,,,
BGD,149273778,151007807,152764676,154520167,156256276,157970840,159670593,161356039,,,,,
BLR,9473172,9464495,9465997,9474511,9489616,9501534,9498264,9483499,,,,,
BEN,9460830,9729248,10004588,10286842,10575952,10872067,11175204,11485048,,,,,
BOL,10212954,10377676,10542376,10706517,10869730,11031813,11192854,11353142,,,,,
BRA,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,,,,,
BFA,16081911,16571246,17072775,17586017,18110624,18646378,19193284,19751535,,,,,
KHM,14541423,14780454,15026332,15274503,15521436,15766293,16009414,16249798,,,,,
CMR,20906388,21485266,22077298,22681858,23298368,23926539,24566045,25216237,,,,,
CHN,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000,,,,,
COL,45662747,46075721,46495492,46967706,47520667,48175048,48909844,49661056,,,,,
CIV,21028655,21547188,22087505,22647683,23226143,23822714,24437469,25069229,,,,,
EGY,84529250,86422240,88404640,90424654,92442547,94447072,96442593,98423595,,,,,
SLV,6210568,6237923,6266070,6295128,6325124,6356143,6388122,6420744,,,,,
ETH,90139927,92726971,95385785,98094253,100835458,103603501,106400024,109224559,,,,,
GHA,25387710,25996449,26607642,27224472,27849205,28481946,29121471,29767108,,,,,
GTM,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,,,,,
GIN,10420471,10652029,10892810,11150977,11432088,11738441,12067539,12414318,,,,,
HND,8480671,8640691,8798521,8955589,9112916,9270795,9429013,9587522,,,,,
IND,1250288729,1265782790,1280846129,1295604184,1310152403,1324509589,1338658835,1352617328,,,,,
IDN,245116206,248452413,251806402,255129004,258383256,261554226,264645886,267663435,,,,,
JAM,2825929,2842132,2858709,2875136,2891021,2906238,2920853,2934855,,,,,
JOR,7663131,8090872,8520420,8920049,9266575,9551467,9779173,9956011,,,,,
KAZ,16557201,16792089,17035550,17288285,17542806,17794055,18037776,18276498.5,,,,,
KEN,43178257,44343410,45519889,46699981,47878336,49051686,50221473,51393010,,,,,
KGZ,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6322800,,,,,
LAO,6347567,6444530,6541304,6639756,6741164,6845846,6953035,7061507,,,,,
MDG,21743967,22346641,22961253,23589887,24234088,24894380,25570540,26262368,,,,,
MWI,14962112,15396005,15839269,16289540,16745303,17205289,17670260,18143315,,,,,
MUS,1252404,1255882,1258653,1260934,1262605,1263473,1264613,1265303,,,,,
MEX,115695473,117274155,118827161,120355128,121858258,123333376,124777324,126190788,,,,,
MNG,2770362,2824699,2881792,2940108,2998439,3056359,3113779,3170208,,,,,
MAR,32781850,33241898,33715693,34192347,34663603,35126296,35581294,36029138,,,,,
MOZ,24187487,24862648,25560725,26286163,27042002,27829942,28649007,29495962,,,,,
NAM,2156701,2194784,2233510,2273430,2314904,2358041,2402603,2448255,,,,,
NPL,27041437,26989862,26917906,26906926,27015031,27261131,27627124,28087871,,,,,
NIC,5903039,5982526,6062454,6142733,6223240,6303974,6384855,6465513,,,,,
NGA,162805071,167228767,171765769,176404902,181137448,185960289,190873311,195874740,,,,,
PAK,183340592,187281475,191262919,195306825,199426964,203627284,207896686,212215030,,,,,
PRY,6333976,6421512,6510276,6599526,6688746,6777872,6867062,6956071,,,,,
PER,29264318,29506788,29773987,30090359,30470734,30926032,31444297,31989256,,,,,
PHL,95570047,97212638,98871552,100513138,102113212,103663927,105173264,106651922,,,,,
RUS,142960908,143201721,143506995,143819666,144096870,144342396,144496740,144477860,,,,,
RWA,10293331,10549678,10811543,11083635,11369071,11668818,11980937,12301939,,,,,
SEN,13033809,13401991,13782420,14174731,14578459,14993528,15419381,15854360,,,,,
ZAF,52004172,52834005,53689236,54545991,55386367,56203654,57000451,57779622,,,,,
LKA,20398670,20425000,20585000,20778000,20970000,21203000,21444000,21670000,,,,,
TZA,45673338,47052481,48482266,49959822,51482633,53050790,54663906,56318348,,,,,
THA,67518382,67835957,68144501,68438730,68714511,68971331,69209858,69428524,,,,,
TGO,6595943,6773807,6954721,7137997,7323158,7509952,7698475,7889094,,,,,
UGA,33476919,34559168,35695246,36912148,38225453,39647506,41162465,42723139,,,,,
UKR,45706086,45593342,45489648,45272156,45154036,45004674,44831135,44622518,,,,,
VNM,88871561,89802487,90753472,91714595,92677076,93638724,94596642,95540395,,,,,
ZMB,14023193,14465121,14926504,15399753,15879361,16363507,16853688,17351822,,,,,
AUT,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,,,,,
BEL,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,,,,,
BGR,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,,,,,
CYP,1124833,1135046,1143866,1152285,1160985,1170187,1179680,1189265,,,,,
CZE,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,,,,,
DEU,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,,,,,
DNK,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,,,,,
EST,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,,,,,
ESP,46742697,46773055,46620045,46480882,46444832,46484062,46593236,46797754,,,,,
FIN,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,,,,,
FRA,65342780,65659809,65998687,66312067,66548272,66724104,66864379,66965912,,,,,
GRC,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,,,,,
HRV,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,,,,,
HUN,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,,,,,
IRL,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,,,,,
ITA,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,,,,,
LTU,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2801543,,,,,
LUX,518347,530946,543360,556319,569604,582014,596336,607950,,,,,
LVA,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,,,,,
MLT,416268,420028,425967,434558,445053,455356,467999,484630,,,,,
NLD,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231624,,,,,
NOR,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5311916,,,,,
POL,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37974750,,,,,
PRT,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10283822,,,,,
ROU,20147528,20058035,19983693,19908979,19815616,19702267,19587290,19472545,,,,,
SWE,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10175214,,,,,
SVN,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2073894,,,,,
SVK,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771,,,,,
TUR,73443863,74653016,75928564,77231907,78529409,79821724,81101892,82319724,,,,,
GBR,63258810,63700215,64128273,64602298,65116219,65611593,66058859,66460344,,,,,
JPN,127833000,127629000,127445000,127276000,127141000,126994511,126785797,126529100,,,,,
USA,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,,,,,
